Author Name,University
Ioannis N. Athanasiadis,Wageningen University & Research
Richard M Jiang,University of Northumbria
Graça Bressan,University of São Paulo
Kamer Vishi,South-Eastern Norway Regional Health Authority
Alexandra W. Chadwick,University of Cambridge
C. J. Sreenan,University College Cork
Peter  Robinson,University of Cambridge
Vladimir Haltakov,Bavarian Motor Works Group
Chang-Hong Hsu,"University of Michigan, Ann Arbor"
B. Sauvage,University of Strasbourg
Clark  Verbrugge,McGill University
Julio César Bahamón,The University of North Carolina at Charlotte
H. Schumann,University of Rostock
Petr Sojka,Masaryk University
Mark Horowitz,Stanford University
Rubén Salvador,University of Rennes
Mohamed Yahya,Bloomberg L.P.
Kanhaiya Lal,"Birla Institute of Technology, Mesra"
Dac Nhuong  Le,Haiphong University
Ritesh Srivastava,Netaji Subhas Institute of Technology
Musaab  Hasan,University of Science & Technology of Fujairah
George Papagiannakis,University of Crete
Michela  Spagnuolo,"Istituto Di Matematica Applicata E Tecnologie Informatiche, Pavia"
Christos  Kotselidis,The University of Manchester
Rui Filipe Antunes,Lusophone University of Humanities and Technologies
Foivos Zakkak,"Red Hat, Inc."
Michael J. Freedman,Princeton University
Roope Raisamo,Tampere University
Dídac Busquets,Imperial College London
Ismo Rakkolainen,Tampere University
Cheol Min Kim,Jeju National University
Dheeman Saha,South Dakota State University
Alejandro Rago,National University of Buenos Aires Central Province
Santiago A. Vidal,Universidad de la Republica
Soh Masuko,Shibaura Institute of Technology
Vito Gentile,University of Palermo
Sebastian  Frank,University of Hamburg
Andrew Lumsdaine,University of Washington
Li Guanghui,Northwestern Polytechnical University
Fahmi Khalifa,Morgan State University
Viet Dung Nguyen,University of Illinois Urbana-Champaign
W. Kraaij,Leiden University
Thad Starner,Georgia Institute of Technology
Susan R. Fussell,Cornell University
Andreas Harth,Karlsruhe Institute of Technology
Patrick Tague,Carnegie Mellon University
Maya Sappelli,Netherlands Organisation for Applied Scientific Research - TNO
Auriol Degbelo,Technical University of Dresden
Najmeh Mousavi Nejad,University of Bonn
Sharat Chandran,Indian Institute of Technology Bombay
Peyman  Passban,Dublin City University
Donya Quick,Stevens Institute of Technology
Sameer Kulkarni,University of Delaware
Ranjan Kumar Behera,"Birla Institute of Technology, Mesra"
Martin Pielot,"Google LLC, Europe"
Lee  Altenberg,University of Hawaiʻi at Mānoa
S. Manjunath,University of Mysore
Mubashir Hussain Rehmani,Munster Technological University (MTU)
Pulak Purkait,The University of Adelaide
Shankai Yan,City University of Hong Kong
Alvaro Peris,Polytechnic University of Valencia
Gordana  Dodig-Crnkovic,Chalmers University of Technology
Stela Hanbyeol Seo,Kyoto University
Massimo Quadrana,Apple Computer
Benedikt Loepp,Fraunhofer Institute for Microelectronic Circuits and Systems IMS
Sergio Oramas,Pompeu Fabra University Barcelona
Josemar Faustino,Florida Institute of Technology
Dawar Khan,King Abdullah University of Science and Technology
Oded Lachish,University of London
Man-Je Kim,Sejong University
Ramyar Saeedi,Washington State University Pullman
Keyvan Sasani,Washington State University Pullman
Zhila Esna Ashari,Washington State University Pullman
Veljko Milutinović,University of Belgrade
Sangho Suh,"University of California, San Diego"
Yetunde Folajimi,Northeastern University
Steve Dahlskog,Malmö University
Josep Valls-Vargas,Drexel University
Ahmed M Abuzuraiq,Simon Fraser University
Periwinkle Doerfler,NYU Tandon School of Engineering
Raquel Y.S. Aoki,Federal University of Minas Gerais
Jin-Dong Kim,Research Organization of Information and Systems
Benoit Donnet,University of Liège
Marcin Skowron,Austrian Research Institute for Artificial Intelligence
Dietmar Schabus,Austrian Research Institute for Artificial Intelligence
Ruey-Cheng Chen,RMIT University
Michael G Hay,Colgate University
Gerome Miklau,University of Massachusetts Amherst
Kohei Hayashi,National Institute of Advanced Industrial Science and Technology
Seungjin Choi,Pohang University of Science and Technology
Adrian Vladu,University of Paris
Yingyu Liang,Princeton University
Lam M. Nguyen,Lehigh University
Usama M. Fayyad,Northeastern University
D. R Figueiredo,Federal University of Rio de Janeiro
Yukihiro Tagami,Yahoo Japan Corporation
Hancheng Ge,Texas A & M University System
Andrew Haines,Yahoo Research Labs
Ehud Baruch Reiter,University of Aberdeen
A M M Sharif Ullah,Kitami Institute of Technology
Martin Cadik,Brno University of Technology
Konstantinos Zagoris,Neapolis University Pafos
Sorinel Adrian Oprisan,College of Charleston
Ali Abedi,Tarbiat Modares University
Diogo Alexandre B Fernandes,University of Porto
Vivek V Venugopalan,University of Southern California
Tomohiro Amemiya,The University of Tokyo
Jeff Hemsley,School of Information Studies
M. Herlihy,Brown University
Muath Sabha,"Arab American University, Palestine"
C. Birklbauer,Johannes Kepler University Linz
J. A. Becerra,University of A Coruña
Hossein Moeinzadeh,Western Sydney University
Simon Wessing,Technical University Dortmund
Tommaso Urli,The Australian National University
Mehdi El Krari,University of Nottingham
Stefan Nadschläger,Johannes Kepler University Linz
Pearl Huan Z Pu,EPFL
Rolf Assfalg,
Olivier Michel,University Paris-Est Créteil Val de Marne
Wojciech Jaskowski,IDSIA Dalle Molle Institute for Artificial Intelligence
Ana Roxin,Bourgogne Franche-Comté University
Reza Farrahi Moghaddam,SYNCHROMEDIA-Multimedia Communication in Telepresence
Muthukumaran Chandrasekaran,University of Georgia
Michael Hellwig,Vorarlberg University of Applied Sciences
Alma As-Aad Mohammad Rahat,University of Exeter
Gonzalo I Diaz,"University of Oxford, Keble College"
Ismahane  Cheheb,Nottingham Trent University
Fernando Concatto,University of the Valley of Itajai
Suman Kumar Das,JIS College of Engineering
Paulo Salem,Dell EMC
Frederic Fol Leymarie,"Goldsmiths, University of London"
Lillian N Riley Cassel,Villanova University
Mickaël Tits,University of Mons
Marianthi  Grizioti,National and Kapodistrian University of Athens
Nina (Zhuxiaona) Wei,
Dylan Ebert,The University of Texas at Arlington
Shengyu Chiu,Ming Chuan University
Antonella Poggi,Sapienza University of Rome
Rick Rabiser,Johannes Kepler University Linz
Markus Seidl,St. Pölten University of Applied Sciences
Hyesun Hong,Seoul National University
Daniel Rodriguez,University of Alcalá
Tim  Cowlishaw,British Broadcasting Corporation
Richard  Sewell,
Paolo Federico,Vienna University of Technology
Evanthia  Dimara,Utrecht University
Miyuru Dayarathna,WSO2 Inc.
Isuru Perera,WSO2 Inc.
Shagufta  Mehnaz,College of Science
Georges Quénot,Grenoble Alpes University
Lu  Jiang,Carnegie Mellon University
Shilun Lin,Beijing University of Posts and Telecommunications
Christian Andreas Henning,Gottfried Wilhelm Leibniz University Hannover
Nitish Nag,"University of California, Irvine"
Maurício  Ayala-Rincón,University of Brasilia
Andrew J. Parkes,University of Nottingham
Hassan Reza,University of North Dakota
Christie Myburgh,
Karan K. Budhraja,"University of Maryland, Baltimore County (UMBC)"
Lauro C M de Paula,Federal University of Goiás
Chun Tung Chou,UNSW Sydney
Dharmendra S. Modha,IBM Research - Almaden
M. Eduard Gröller,Vienna University of Technology
Christos Tjortjis,International Hellenic University
Justin-jongSu  Song,Inha University
Mohammad Haghighat,University of Miami
Christian Bettstetter,Alpen-Adria-Universität Klagenfurt
M. Jenkin,York University
Krishnanand N. Kaipa,Old Dominion University
Margaret Martonosi,Princeton University
Matthew Moskewicz,Tesla Inc
Xiang Ren,University of Illinois Urbana-Champaign
Yun Ma,City University of Hong Kong
Haoyu Zhou,Peking University
Haifeng Zhang,Peking University
Rongye Shi,Carnegie Mellon University
Shangyu Luo,Rice University
Enrico Costanza,University of Southampton
Gal A. Kaminka,Bar-Ilan University
Arun  Kumar,IBM Research
Theja Tulabandhula,University of Illinois at Chicago
Étienne André,University Sorbonne Paris Nord
Ingrid Nunes,Federal University of Rio Grande do Sul
André B. Leal,Santa Catarina State University
Ziming Zhao,"University at Buffalo, The State University of New York"
Arnold Filtser,Bar-Ilan University
Christopher Hampson,King's College London
Dan Feng,Northeastern University
Rishabh Jangir,Indian Institute of Technology Guwahati
David M. Sirkin,Stanford University
Vanessa Cesário,Higher Technical Institute
Wesley  Wang,Georgia Institute of Technology
Filipa  Nóbrega,The University of Madeira
Eduardo Câmara Gomes,The University of Madeira
Harry  Vasanth,Madeira Interactive Technologies Institute
Karanbir S Toor,University of Washington
Charlton M Smith,University of Washington
Henrique  Ferreira,The University of Madeira
Eelke Folmer,"University of Nevada, Reno"
Majed  Al-Zayer,"University of Nevada, Reno"
Joonbum  Lee,Massachusetts Institute of Technology
Luigi Gallo,Italian National Research Council
Mohammad Sadoghi,"University of California, Davis"
Frank Hopfgartner,The University of Sheffield
Ferdous A. Barbhuiya,Council of Indian Institutes of Information Technology
Robert Karam,"University of South Florida, Tampa"
Christopher  Clarke,University of Bath
Rahul  Islam,Indian Institute of Information Technology Guwahati
Fairouz Hussein,University of Technology Sydney
G. E. Blelloch,Carnegie Mellon University
Geoffrey Mainland,College of Computing & Informatics
James Kapinski,Toyota Research Institute of North America
Sadegh Esmaeil Zadeh Soudjani,Max Planck Institute for Software Systems
Semih Yumusak,Karatay Üniversitesi
J. Burstein,Educational Testing Service
Yigal  Rosen,Harvard University
Anastasia Ioannidou,Centre for Research and Technology-Hellas
Alexandros Gouvatsos,Bournemouth University
D Estrin,Cornell Tech
Roberto Di Pietro,Hamad Bin Khalifa University
Lillian Jane Lee,Cornell University
Ingmar Weber,Saarland University
Xuan Hong Dang,"University of California, Santa Barbara"
Andrei Z. Broder,Google LLC
Minh X Hoang,"University of California, Santa Barbara"
Immanuel Bayer,University of Konstanz
Roy Ka Wei Lee,Singapore Management University
Qian Zhao,Bloomberg L.P.
Juan David Guarnizo,"Swiss Federal Institute of Technology, Zurich"
Yair Meidan,Ben-Gurion University of the Negev
Kimberly Joly,Harvey Mudd College
Vicenzo  Abichequer Sangalli,University of Rennes
Juliana Medeiros Destro,University of Campinas
Faryed Eltayesh,Concordia Institute for Information Systems Engineering
Valentina Karolj,German Aerospace Center
Shahryar Baki,University of Houston
João Carlos Menezes Carreira,"University of California, Berkeley"
Clemens Holzmann,University of Applied Sciences Upper Austria
Andreas G. Weber,University of Bonn
Arash Zand Jahangiri,San Diego State University
Tuan Anh Nguyen,Viet Nam National University Ho Chi Minh City
Björn Krüger,University of Bonn
Kais Allab,Laboratory of Informatics Paris Descartes
Kyung Hoon Hyun,Hanyang University
Zhongye  Jia,Baosteel Group Corporation
D. Zanardini,Technical University of Madrid
P. J. Flynn,University of Notre Dame
John Patrick Hayes,"University of Michigan, Ann Arbor"
Armin Alaghi,Meta
R. Iris Bahar,Brown University
Hsinpai  Cheng,University of Pittsburgh
Michal Ciesielczyk,Poznan University of Technology
Benjamin L. Bullough,Massachusetts Institute of Technology
Sara Rosenthal,IBM Research
Humera Noor Minhas,University of Bremen
S. S. Al-Fedaghi,Kuwait University
Abdelkader Bellarbi,Center for Development of Advanced Technologies
Mansour Ahmadi,University of Cagliari
Aditya Thakur,Missouri University of Science and Technology
Konstantinos  Vardis,Athens University of Economics and Business
Shuai Wang,Shenyang Institute of Automation Chinese Academy of Sciences
Haoran Li,University of Chinese Academy of Sciences
Jie Yin,Commonwealth Scientific and Industrial Research Organisation
Andrew Gibson,Queensland University of Technology
Tobias Ley,University for Continuing Education Krems
Thomas Daniel Ullmann,The Open University
Patrick Donnelly,Oregon State University
Nelson Silva,"Know-Center, Graz"
Adam  Aitken,University of Technology Sydney
Eder J De Carvalho,University of São Paulo
Alireza Ahadi,University of Technology Sydney
Svebor Karaman,Columbia University
Johannes Feldmaier,Technical University of Munich
Jun Ye,Microsoft Corporation
Jacqueline  Hemminghaus,Bielefeld University
Andrea F. Daniele,Toyota Technological Institute at Chicago
Nicholas Evans,EURECOM- Graduate School and Research Center in Digital Sciences
Romain Fontugne,Internet Initiative Japan Inc.
Ahmed El Kholy,Microsoft Corporation
Hendrik Meutzner,Ruhr University Bochum
Markus Endler,Pontifical Catholic University of Rio de Janeiro
Twan Basten,Eindhoven University of Technology
David N. Morley,Google LLC
Ninad Thakoor,"University of California, Riverside"
Jongmoon Baik,Korea Advanced Institute of Science and Technology
Amar Faiz Zainal Abidin,University of Malaysia Pahang Al-Sultan Abdullah
Bolan Su,"A-Star, Institute for Infocomm Research"
Vinícius Pereira Gonçalves,University of Brasilia
Dheeraj Kumar,Lyles School of Civil Engineering
Francesco Solera,University of Modena and Reggio Emilia
Iman Sharifi,Amirkabir University of Technology
Kyoung-Min Kim,Chonnam National University
Johnnatan Messias,Max Planck Institute for Software Systems
Peter Milder,Stony Brook University
Simon Price,University of Bristol
David Blanco Mulero,Technical University of Madrid
Omar Amr,The British University in Egypt
Sadid A. Hasan,Philips Research
Ron Alford,MITRE Corporation
Vikas Shivashankar,"Amazon.com, Inc."
Kai Yang,Peking University
Jia Li,University of Illinois at Chicago
Kathy  Lee,Philips Research
Antoine Amarilli,Telecom Paris
Paolo Ienne,EPFL
José Manuel García,University of Murcia
Oliver Obst,Western Sydney University
P. Sojan Lal,"Mahatma Gandhi University, Kottayam"
Mai Otsuki,National Institute of Advanced Industrial Science and Technology
Antonio Paolillo,IDSIA Dalle Molle Institute for Artificial Intelligence
Sophie  McKenzie,Deakin University
Amit Sabne,Google LLC
